Mã thủ tục,Đường dẫn,File
1.002759,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=3940,D:/capstone-project/backup\suc_khoe_va_y_te\ChiTietTTHC_1.002759.doc
1.001939,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2799,D:/capstone-project/backup\suc_khoe_va_y_te\ChiTietTTHC_1.001939.doc
2.000693,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2231,D:/capstone-project/backup\suc_khoe_va_y_te\ChiTietTTHC_2.000693.doc
1.001667,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2434,D:/capstone-project/backup\suc_khoe_va_y_te\ChiTietTTHC_1.001667.doc
1.001598,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2331,D:/capstone-project/backup\suc_khoe_va_y_te\ChiTietTTHC_1.001598.doc
1.001656,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2421,D:/capstone-project/backup\suc_khoe_va_y_te\ChiTietTTHC_1.001656.doc
1.001632,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2383,D:/capstone-project/backup\suc_khoe_va_y_te\ChiTietTTHC_1.001632.doc
1.001643,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2399,D:/capstone-project/backup\suc_khoe_va_y_te\ChiTietTTHC_1.001643.doc
1.001521,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2206,D:/capstone-project/backup\suc_khoe_va_y_te\ChiTietTTHC_1.001521.doc
