Mã thủ tục,Đường dẫn,File
1.000656,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=934,D:/capstone-project/backup\nguoi_than_qua_doi\ChiTietTTHC_1.000656.doc
1.001731,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2517,D:/capstone-project/backup\nguoi_than_qua_doi\ChiTietTTHC_1.001731.doc
1.000419,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=601,D:/capstone-project/backup\nguoi_than_qua_doi\ChiTietTTHC_1.000419.doc
1.001766,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2566,D:/capstone-project/backup\nguoi_than_qua_doi\ChiTietTTHC_1.001766.doc
2.000821,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2664,D:/capstone-project/backup\nguoi_than_qua_doi\ChiTietTTHC_2.000821.doc
1.004827,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=6753,D:/capstone-project/backup\nguoi_than_qua_doi\ChiTietTTHC_1.004827.doc
2.000497,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=1514,D:/capstone-project/backup\nguoi_than_qua_doi\ChiTietTTHC_2.000497.doc
