Mã thủ tục,Đường dẫn,File
1.004222,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=6007,D:/capstone-project/backup\co_con_nho\ChiTietTTHC_1.004222.doc
1.001193,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=1774,D:/capstone-project/backup\co_con_nho\ChiTietTTHC_1.001193.doc
2.000986,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=3285,D:/capstone-project/backup\co_con_nho\ChiTietTTHC_2.000986.doc
2.001023,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=3427,D:/capstone-project/backup\co_con_nho\ChiTietTTHC_2.001023.doc
1.000689,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=990,D:/capstone-project/backup\co_con_nho\ChiTietTTHC_1.000689.doc
2.000528,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=1611,D:/capstone-project/backup\co_con_nho\ChiTietTTHC_2.000528.doc
1.001695,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2471,D:/capstone-project/backup\co_con_nho\ChiTietTTHC_1.001695.doc
1.000110,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=159,D:/capstone-project/backup\co_con_nho\ChiTietTTHC_1.000110.doc
